timestamp,src_ip,dst_ip,status,risk
2026-02-22 21:10:25,10.0.2.15,142.250.186.4,Anomaly Detected!,High
2026-02-22 21:10:25,142.250.186.4,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:10:25,142.250.186.4,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:10:25,142.250.186.4,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:10:25,10.0.2.15,142.250.186.4,Anomaly Detected!,High
2026-02-22 21:10:25,142.250.186.4,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:10:25,142.250.186.4,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:10:25,10.0.2.15,142.250.186.4,Anomaly Detected!,High
2026-02-22 21:10:25,142.250.186.4,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:10:25,10.0.2.15,142.250.186.4,Anomaly Detected!,High
2026-02-22 21:10:24,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:10:16,10.0.2.15,192.168.100.1,Anomaly Detected!,High
2026-02-22 21:10:16,10.0.2.15,192.168.100.1,Anomaly Detected!,High
2026-02-22 21:10:16,192.168.100.1,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:10:16,192.168.100.1,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:10:16,10.0.2.15,52.178.17.232,Anomaly Detected!,High
2026-02-22 21:10:14,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:10:14,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:47,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:09:47,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:20,10.0.2.15,142.250.202.42,Anomaly Detected!,High
2026-02-22 21:09:20,142.250.202.42,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:20,10.0.2.15,142.250.202.42,Anomaly Detected!,High
2026-02-22 21:09:20,142.250.202.42,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:20,142.250.202.42,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:20,10.0.2.15,142.250.202.42,Anomaly Detected!,High
2026-02-22 21:09:20,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:09:20,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:18,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:09:18,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:17,10.0.2.15,142.250.202.42,Anomaly Detected!,High
2026-02-22 21:09:17,142.250.202.42,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:17,10.0.2.15,142.250.202.42,Anomaly Detected!,High
2026-02-22 21:09:17,142.250.202.42,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:17,142.250.202.42,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:17,10.0.2.15,142.250.202.42,Anomaly Detected!,High
2026-02-22 21:09:16,192.168.100.1,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:16,192.168.100.1,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:16,192.168.100.1,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:16,10.0.2.15,142.250.202.42,Anomaly Detected!,High
2026-02-22 21:09:16,10.0.2.15,142.250.202.42,Anomaly Detected!,High
2026-02-22 21:09:16,10.0.2.15,142.250.202.42,Anomaly Detected!,High
2026-02-22 21:09:16,10.0.2.15,142.250.202.42,Anomaly Detected!,High
